_timestamp,train/q_halt_loss,_step,num_params,train/lm_loss,train/lr,_runtime,train/q_halt_accuracy,train/exact_accuracy,train/accuracy,all.q_halt_accuracy,train/steps,all.q_halt_loss,all.lm_loss,all.exact_accuracy,all.steps,all.accuracy,train/count
1773834779.4080446,0.006715297698974609,55,,2.441702734473112,2.7500000000000004e-06,27.044799556,0.0,0.0,0.0,,0.0,,,,,,0
1773834814.845036,0.005909549072384834,143,,2.1897220905782526,7.15e-06,62.485703393,0.0,0.0,0.0,,0.0,,,,,,0
1773834838.7226546,0.005311200395226479,202,,2.0727202294116904,1.0100000000000002e-05,86.36360458,0.0,0.0,0.0,,0.0,,,,,,0
1773834956.9471622,0.0017054124424854915,492,,1.4469894790107178,2.46e-05,204.591821468,0.0,0.0,0.0,,0.0,,,,,,0
1773834967.5880868,0.0014522746205329895,518,,1.4348677000279928,2.5900000000000003e-05,215.23381834,0.0,0.0,0.0,,0.0,,,,,,0
1773835029.8777635,0.00044694915413856506,670,,1.3763551576636959,3.35e-05,277.524771722,0.0,0.0,0.0,,0.0,,,,,,0
1773835032.3388848,0.0003819335252046585,676,,1.3816928486713655,3.38e-05,279.984998141,0.0,0.0,0.0,,0.0,,,,,,0
1773835091.8368163,0.00011889015634854634,821,,1.3241371258959953,4.105e-05,339.48320608,0.0,0.0,0.0,,0.0,,,,,,0
1773835135.3552475,4.412295917669932e-05,927,,1.2791112496824573,4.635e-05,383.001366796,0.0,0.0,0.0,,0.0,,,,,,0
1773835161.2080464,1.8744419018427532e-05,990,,1.2552026958416846,4.9500000000000004e-05,408.85460962,0.0,0.0,0.0,,0.0,,,,,,0
1773835173.9310014,1.2782712777455648e-05,1021,,1.2537523194427707,5.105000000000001e-05,421.577347856,0.0,0.0,0.0,,0.0,,,,,,0
1773835187.88615,7.55240519841512e-06,1055,,1.23837989581743,5.275000000000001e-05,435.532921025,0.0,0.0,0.0,,0.0,,,,,,0
1773835195.2779417,4.512568314870198e-06,1073,,1.271457308184601,5.365e-05,442.924696163,0.0,0.0,0.0,,0.0,,,,,,0
1773835201.0280483,8.188188076019287e-06,1087,,1.2331135296091282,5.435e-05,448.6748133,0.0,0.0,0.0,,0.0,,,,,,0
1773835246.198191,1.909832159678141e-06,1197,,1.1784050775022958,5.985e-05,493.845718998,0.0,0.0,0.0,,0.0,,,,,,0
1773835285.2313526,1.5894571940104167e-06,1292,,1.1128856748462066,6.46e-05,532.877648866,0.0,0.0,0.0,,0.0,,,,,,0
1773835339.4799564,4.967053731282552e-09,1424,,1.0577324173402853,7.12e-05,587.12619505,1.0,0.0,0.5338863531748453,,16.0,,,,,,1
1773835367.0323386,1.241763432820638e-09,1491,,1.0511222062303027,7.455000000000001e-05,614.67901213,0.0,0.0,0.0,,0.0,,,,,,0
1773835402.7975347,1.4901161193847656e-08,1578,,0.995251940863808,7.89e-05,650.44407659,0.0,0.0,0.0,,0.0,,,,,,0
1773835474.0020523,0.0,1751,,0.9391193342423684,8.755e-05,721.649523549,0.0,0.0,0.0,,0.0,,,,,,0
1773835520.4973452,0.0,1864,,0.9198446119705564,9.32e-05,768.144471627,0.0,0.0,0.0,,0.0,,,,,,0
1773835521.7312763,0.0,1867,,0.912053857124211,9.335e-05,769.378797256,0.0,0.0,0.0,,0.0,,,,,,0
1773835562.9264052,0.0,1967,,0.8751327781464614,9.835e-05,810.574638815,0.0,0.0,0.0,,0.0,,,,,,0
1773835573.6421163,0.0,1993,,0.8809244229980489,9.965e-05,821.290933714,0.0,0.0,0.0,,0.0,,,,,,0
1773835605.372738,0.0,2070,,0.8795466083865525,0.0001,853.020898804,0.0,0.0,0.0,,0.0,,,,,,0
1773835663.8555675,4.878888527552287e-06,2212,,0.8700957889046678,0.0001,911.503609399,0.0,0.0,0.0,,0.0,,,,,,0
1773835692.292957,4.477798938751221e-06,2281,,0.8503593253070889,0.0001,939.940949457,0.0,0.0,0.0,,0.0,,,,,,0
1773835779.1490905,0.0262138769030571,2492,,0.820740744428098,0.0001,1026.79740022,0.0,0.0,0.0,,0.0,,,,,,0
